SampleN,Beta1,SE1,Beta2,SE2,Beta3,SE3,Beta4,SE4
76,0.979552,0.003048,0.960363,0.004761,0.968505,0.004394,0.958346,0.006539
77,0.976028,0.003055,0.960328,0.004762,0.963065,0.004409,0.953443,0.006397
78,0.980057,0.003005,0.960299,0.004762,0.966038,0.004388,0.952371,0.006547
79,0.979312,0.003079,0.960383,0.004760,0.963324,0.004289,0.952709,0.006489
80,0.979726,0.003017,0.960307,0.004762,0.962740,0.004402,0.956648,0.006541
81,0.979719,0.003047,0.960249,0.004763,0.966623,0.004359,0.949441,0.006550
82,0.979814,0.003017,0.960354,0.004761,0.962062,0.004307,0.952529,0.006609
83,0.980947,0.003013,0.960299,0.004763,0.961611,0.004297,0.954528,0.006340
84,0.981419,0.002925,0.960315,0.004762,0.959412,0.004489,0.956280,0.006406
85,0.982714,0.002975,0.960310,0.004761,0.964281,0.004242,0.957378,0.006344
86,0.980235,0.002944,0.960264,0.004763,0.963119,0.004424,0.957690,0.006449
87,0.980248,0.002914,0.960268,0.004763,0.965407,0.004355,0.951814,0.006390
88,0.979869,0.002989,0.960375,0.004761,0.962726,0.004341,0.955528,0.006411
89,0.979984,0.003064,0.960306,0.004762,0.962428,0.004339,0.947984,0.006593
90,0.979968,0.003060,0.960353,0.004761,0.963810,0.004255,0.949631,0.006372
91,0.983448,0.002986,0.960306,0.004763,0.962977,0.004347,0.953185,0.006455
92,0.981887,0.002953,0.960388,0.004761,0.967684,0.004250,0.950620,0.006518
93,0.980132,0.002989,0.960319,0.004761,0.962449,0.004344,0.949055,0.006437
94,0.979829,0.003039,0.960299,0.004762,0.961712,0.004353,0.945104,0.006470
95,0.977867,0.003018,0.960316,0.004762,0.960304,0.004455,0.953460,0.006427
96,0.982196,0.003013,0.960363,0.004761,0.962923,0.004454,0.953934,0.006541
97,0.981364,0.002974,0.960373,0.004761,0.959313,0.004328,0.952868,0.006495
98,0.979675,0.003042,0.960365,0.004761,0.967755,0.004277,0.954532,0.006374
99,0.981204,0.002965,0.960332,0.004761,0.966173,0.004366,0.955394,0.006445
100,0.982031,0.003052,0.960297,0.004763,0.966107,0.004339,0.953943,0.006419
101,0.983582,0.002959,0.960348,0.004761,0.962408,0.004414,0.956190,0.006429
102,0.979255,0.003143,0.960305,0.004762,0.962134,0.004303,0.955881,0.006608
103,0.980705,0.003050,0.960370,0.004761,0.965614,0.004335,0.954584,0.006407
104,0.980774,0.003112,0.960297,0.004763,0.962908,0.004384,0.951473,0.006434
105,0.978112,0.002997,0.960339,0.004761,0.966229,0.004398,0.957115,0.006385
106,0.979927,0.003044,0.960364,0.004761,0.962282,0.004297,0.946738,0.006505
107,0.978443,0.003047,0.960296,0.004762,0.961970,0.004373,0.956546,0.006598
108,0.983282,0.002986,0.960385,0.004761,0.964246,0.004325,0.957409,0.006436
109,0.981153,0.002990,0.960282,0.004762,0.959326,0.004321,0.958889,0.006512
110,0.982429,0.002958,0.960339,0.004761,0.961813,0.004412,0.951713,0.006477
111,0.981179,0.003010,0.960263,0.004763,0.963793,0.004327,0.960472,0.006361
112,0.975553,0.003062,0.960444,0.004760,0.963128,0.004317,0.950781,0.006589
113,0.978965,0.003083,0.960330,0.004761,0.963446,0.004283,0.952850,0.006379
114,0.979033,0.002957,0.960283,0.004761,0.958842,0.004503,0.950918,0.006556
115,0.980467,0.003000,0.960282,0.004763,0.968138,0.004349,0.950826,0.006512
116,0.980379,0.002994,0.960354,0.004760,0.964364,0.004258,0.949840,0.006540
117,0.981557,0.002997,0.960241,0.004763,0.968951,0.004313,0.955574,0.006347
118,0.978630,0.002980,0.960388,0.004761,0.961445,0.004367,0.947265,0.006550
119,0.981291,0.003031,0.960288,0.004762,0.963921,0.004277,0.958365,0.006458
120,0.979022,0.003014,0.960269,0.004763,0.958900,0.004426,0.953607,0.006484
121,0.980677,0.003016,0.960284,0.004762,0.965896,0.004301,0.946387,0.006693
122,0.979220,0.003036,0.960307,0.004763,0.967610,0.004266,0.953086,0.006398
123,0.981466,0.003045,0.960332,0.004761,0.967455,0.004269,0.951803,0.006419
124,0.981858,0.002972,0.960350,0.004761,0.965379,0.004348,0.959830,0.006554
125,0.980445,0.002976,0.960363,0.004760,0.958801,0.004524,0.952514,0.006634
126,0.981280,0.003007,0.960318,0.004762,0.964444,0.004324,0.954362,0.006371
127,0.980998,0.002980,0.960271,0.004763,0.960017,0.004369,0.954572,0.006357
128,0.978744,0.003048,0.960295,0.004762,0.962241,0.004331,0.953407,0.006360
129,0.981718,0.003021,0.960424,0.004760,0.964881,0.004364,0.949259,0.006516
130,0.980116,0.003027,0.960319,0.004762,0.965218,0.004343,0.951297,0.006579
131,0.979750,0.003086,0.960338,0.004761,0.962247,0.004292,0.954580,0.006551
132,0.982191,0.002978,0.960367,0.004760,0.966006,0.004237,0.951752,0.006311
133,0.980279,0.003089,0.960355,0.004761,0.962799,0.004356,0.954221,0.006493
134,0.977526,0.003011,0.960294,0.004762,0.966516,0.004256,0.954371,0.006410
135,0.979201,0.003016,0.960346,0.004762,0.969011,0.004218,0.947475,0.006518
136,0.980851,0.003030,0.960266,0.004763,0.965424,0.004392,0.954496,0.006436
137,0.978605,0.002977,0.960335,0.004761,0.960680,0.004489,0.945691,0.006575
138,0.979183,0.003001,0.960261,0.004763,0.963000,0.004357,0.954004,0.006459
139,0.980378,0.003022,0.960376,0.004760,0.964921,0.004262,0.956294,0.006403
140,0.978592,0.003002,0.960428,0.004759,0.965660,0.004235,0.955630,0.006185
141,0.982252,0.003046,0.960272,0.004763,0.962958,0.004315,0.959849,0.006409
142,0.981005,0.003018,0.960308,0.004761,0.965491,0.004367,0.954191,0.006564
143,0.980806,0.003165,0.960405,0.004759,0.965761,0.004389,0.960717,0.006377
144,0.975307,0.003059,0.960404,0.004760,0.968677,0.004229,0.956488,0.006392
145,0.979507,0.003028,0.960320,0.004762,0.962410,0.004286,0.954579,0.006461
146,0.980276,0.002977,0.960405,0.004760,0.963026,0.004360,0.955856,0.006264
147,0.978452,0.003038,0.960310,0.004762,0.965964,0.004170,0.952302,0.006468
148,0.981233,0.003008,0.960285,0.004763,0.966139,0.004416,0.951239,0.006317
149,0.979107,0.003084,0.960390,0.004760,0.959018,0.004424,0.956312,0.006447
150,0.981112,0.003001,0.960316,0.004762,0.960103,0.004367,0.953994,0.006490
151,0.979133,0.003010,0.960366,0.004762,0.969105,0.004200,0.949298,0.006550
152,0.979573,0.003078,0.960359,0.004760,0.965970,0.004330,0.946783,0.006798
153,0.978198,0.003010,0.960375,0.004760,0.965058,0.004293,0.959113,0.006495
154,0.982191,0.003023,0.960274,0.004763,0.966691,0.004325,0.943975,0.006540
155,0.979790,0.002963,0.960285,0.004762,0.962172,0.004340,0.947845,0.006615
156,0.975836,0.003111,0.960234,0.004763,0.963479,0.004310,0.955291,0.006413
157,0.980045,0.002956,0.960321,0.004762,0.962545,0.004361,0.953985,0.006460
158,0.980300,0.003018,0.960282,0.004761,0.966694,0.004334,0.951643,0.006392
159,0.978428,0.003045,0.960363,0.004761,0.965706,0.004314,0.955920,0.006393
160,0.980350,0.002977,0.960330,0.004761,0.968011,0.004256,0.953916,0.006452
161,0.979498,0.003008,0.960329,0.004761,0.965178,0.004442,0.950566,0.006532
162,0.983162,0.002941,0.960366,0.004760,0.965466,0.004315,0.948723,0.006608
163,0.977417,0.003028,0.960318,0.004761,0.965352,0.004372,0.954820,0.006509
164,0.979925,0.002965,0.960298,0.004763,0.961507,0.004350,0.955646,0.006298
165,0.979888,0.003099,0.960315,0.004762,0.965980,0.004197,0.958653,0.006338
166,0.980691,0.002982,0.960405,0.004759,0.964595,0.004260,0.952190,0.006492
167,0.980785,0.002993,0.960252,0.004762,0.962582,0.004367,0.952861,0.006416
168,0.982336,0.002971,0.960331,0.004761,0.966064,0.004262,0.955759,0.006479
169,0.979267,0.002988,0.960329,0.004762,0.963392,0.004374,0.949093,0.006647
170,0.981210,0.002951,0.960296,0.004762,0.965028,0.004283,0.946200,0.006525
171,0.980824,0.003046,0.960412,0.004759,0.961395,0.004390,0.952189,0.006474
172,0.980226,0.003019,0.960356,0.004762,0.965802,0.004457,0.951372,0.006540
173,0.978516,0.003031,0.960330,0.004762,0.967962,0.004281,0.952802,0.006472
174,0.980086,0.002991,0.960317,0.004761,0.963933,0.004414,0.951529,0.006382
175,0.979806,0.002957,0.960341,0.004761,0.964319,0.004361,0.955532,0.006380
176,0.980315,0.002953,0.960281,0.004762,0.967075,0.004284,0.955979,0.006430
177,0.978617,0.002999,0.960384,0.004760,0.962988,0.004436,0.951593,0.006462
178,0.979745,0.003018,0.960378,0.004761,0.967254,0.004440,0.957445,0.006364
179,0.977144,0.003003,0.960259,0.004762,0.966076,0.004372,0.959081,0.006359
180,0.980409,0.003004,0.960306,0.004762,0.959516,0.004358,0.957302,0.006515
181,0.981280,0.003019,0.960308,0.004761,0.960735,0.004502,0.961543,0.006480
182,0.978267,0.003017,0.960286,0.004762,0.966794,0.004346,0.955316,0.006453
183,0.978259,0.002987,0.960303,0.004762,0.962111,0.004423,0.952108,0.006454
184,0.980300,0.002979,0.960277,0.004762,0.964084,0.004380,0.950794,0.006489
185,0.983615,0.002906,0.960291,0.004762,0.961312,0.004424,0.952203,0.006467
186,0.979526,0.003004,0.960332,0.004761,0.965866,0.004349,0.950785,0.006600
187,0.976633,0.003062,0.960406,0.004760,0.964808,0.004352,0.955409,0.006415
188,0.983337,0.002980,0.960370,0.004760,0.961980,0.004459,0.952015,0.006503
189,0.981288,0.002967,0.960366,0.004761,0.960230,0.004370,0.955361,0.006570
190,0.983876,0.002973,0.960312,0.004761,0.964100,0.004336,0.954873,0.006414
191,0.979479,0.003024,0.960324,0.004762,0.964933,0.004386,0.953578,0.006499
192,0.978530,0.002978,0.960328,0.004762,0.969730,0.004343,0.953124,0.006349
193,0.978408,0.003112,0.960205,0.004764,0.962577,0.004374,0.954286,0.006609
194,0.976031,0.003036,0.960370,0.004760,0.958175,0.004386,0.955223,0.006421
195,0.979895,0.003082,0.960388,0.004761,0.963470,0.004351,0.951443,0.006426
196,0.981169,0.003028,0.960258,0.004762,0.963704,0.004308,0.958475,0.006483
197,0.980238,0.002997,0.960312,0.004762,0.964338,0.004337,0.948392,0.006438
198,0.976488,0.003010,0.960421,0.004760,0.960245,0.004532,0.944355,0.006646
199,0.978442,0.003015,0.960343,0.004761,0.961667,0.004275,0.957074,0.006492
200,0.977316,0.003069,0.960353,0.004762,0.967767,0.004348,0.950295,0.006425
201,0.979572,0.002976,0.960295,0.004762,0.966100,0.004329,0.953961,0.006442
202,0.977531,0.003052,0.960254,0.004763,0.964876,0.004330,0.953451,0.006456
203,0.977801,0.003048,0.960242,0.004762,0.965026,0.004262,0.949139,0.006525
204,0.982352,0.003009,0.960255,0.004763,0.959292,0.004490,0.955737,0.006447
205,0.976556,0.003015,0.960269,0.004763,0.959565,0.004482,0.953856,0.006509
206,0.981029,0.002970,0.960239,0.004763,0.964420,0.004268,0.953829,0.006489
207,0.978249,0.003024,0.960192,0.004764,0.962630,0.004357,0.947877,0.006593
208,0.979927,0.003062,0.960287,0.004763,0.965405,0.004185,0.954459,0.006442
209,0.974662,0.003121,0.960316,0.004762,0.960842,0.004482,0.950767,0.006504
210,0.981380,0.003017,0.960344,0.004762,0.962298,0.004357,0.952589,0.006590
211,0.977015,0.003041,0.960299,0.004762,0.966487,0.004324,0.951729,0.006580
212,0.980351,0.003024,0.960351,0.004761,0.962228,0.004460,0.948253,0.006407
213,0.983635,0.002930,0.960320,0.004761,0.969712,0.004216,0.951920,0.006453
