SampleN,Beta1,SE1,Beta2,SE2,Beta3,SE3,Beta4,Se4
76,0.983496,0.003105,0.967391,0.005067,0.971882,0.004611,0.963087,0.006490
77,0.983334,0.003161,0.967377,0.005066,0.972252,0.004536,0.961090,0.006517
78,0.987827,0.003075,0.967340,0.005070,0.973266,0.004468,0.962008,0.006403
79,0.983526,0.003135,0.967456,0.005065,0.968173,0.004510,0.960318,0.006572
80,0.981478,0.003064,0.967332,0.005070,0.973604,0.004542,0.958720,0.006625
81,0.981648,0.003137,0.967289,0.005071,0.971477,0.004502,0.962476,0.006596
82,0.985199,0.002997,0.967397,0.005065,0.972991,0.004482,0.964063,0.006664
83,0.981357,0.003175,0.967306,0.005069,0.970338,0.004480,0.962474,0.006703
84,0.984778,0.002990,0.967378,0.005070,0.966956,0.004721,0.973182,0.006499
85,0.982421,0.003048,0.967348,0.005070,0.972568,0.004343,0.965085,0.006362
86,0.983903,0.002927,0.967336,0.005069,0.968161,0.004523,0.966147,0.006394
87,0.984137,0.002915,0.967367,0.005068,0.972812,0.004502,0.966859,0.006461
88,0.983431,0.003079,0.967409,0.005068,0.973953,0.004300,0.963936,0.006530
89,0.981319,0.003184,0.967372,0.005067,0.970407,0.004549,0.962310,0.006607
90,0.977696,0.003129,0.967410,0.005068,0.968207,0.004633,0.969819,0.006288
91,0.986540,0.003088,0.967357,0.005070,0.975761,0.004401,0.957679,0.006483
92,0.985302,0.002956,0.967369,0.005068,0.969591,0.004526,0.959115,0.006675
93,0.980126,0.003036,0.967362,0.005068,0.969652,0.004455,0.964614,0.006664
94,0.982176,0.003036,0.967400,0.005069,0.967481,0.004493,0.964733,0.006702
95,0.979148,0.003186,0.967375,0.005069,0.970057,0.004609,0.964825,0.006435
96,0.980704,0.003116,0.967409,0.005067,0.972412,0.004592,0.959105,0.006779
97,0.985998,0.003091,0.967366,0.005066,0.974885,0.004415,0.969522,0.006347
98,0.979463,0.003036,0.967414,0.005068,0.971597,0.004364,0.958345,0.006625
99,0.983964,0.003067,0.967425,0.005066,0.967643,0.004664,0.962832,0.006583
100,0.981000,0.003100,0.967320,0.005070,0.966937,0.004521,0.965936,0.006462
101,0.986000,0.002970,0.967431,0.005066,0.972008,0.004444,0.964475,0.006450
102,0.980000,0.003280,0.967381,0.005070,0.973824,0.004505,0.969978,0.006675
103,0.979768,0.003119,0.967420,0.005067,0.972132,0.004450,0.965031,0.006487
104,0.978000,0.003240,0.967297,0.005069,0.970577,0.004587,0.960723,0.006452
105,0.981000,0.003110,0.967426,0.005067,0.970166,0.004492,0.961061,0.006663
106,0.980000,0.003120,0.967413,0.005066,0.973774,0.004458,0.960801,0.006623
107,0.982000,0.003130,0.967377,0.005069,0.968166,0.004629,0.962592,0.006614
108,0.984000,0.003130,0.967376,0.005067,0.970957,0.004402,0.959945,0.006421
109,0.980000,0.003130,0.967268,0.005069,0.970938,0.004389,0.967465,0.006518
110,0.982000,0.003020,0.967331,0.005068,0.972680,0.004585,0.959389,0.006649
111,0.983000,0.003060,0.967304,0.005069,0.974170,0.004361,0.959589,0.006705
112,0.978000,0.003160,0.967463,0.005066,0.971705,0.004523,0.965967,0.006448
113,0.982000,0.003120,0.967353,0.005067,0.968680,0.004511,0.965116,0.006610
114,0.982000,0.003020,0.967361,0.005069,0.967314,0.004617,0.965352,0.006527
115,0.982000,0.003120,0.967332,0.005069,0.971624,0.004499,0.966796,0.006563
116,0.980000,0.003040,0.967434,0.005066,0.969935,0.004606,0.963945,0.006626
117,0.983000,0.002970,0.967297,0.005069,0.974615,0.004430,0.965506,0.006446
118,0.982000,0.003010,0.967394,0.005067,0.968903,0.004500,0.959393,0.006624
119,0.984000,0.003100,0.967380,0.005069,0.975366,0.004292,0.968305,0.006549
120,0.981000,0.003210,0.967248,0.005069,0.972310,0.004419,0.966909,0.006681
121,0.984000,0.003070,0.967329,0.005069,0.975206,0.004464,0.963408,0.006625
122,0.981193,0.003170,0.967365,0.005069,0.971540,0.004333,0.966150,0.006371
123,0.983000,0.003120,0.967383,0.005067,0.969262,0.004348,0.952528,0.006596
124,0.980000,0.003000,0.967416,0.005068,0.974620,0.004409,0.967060,0.006599
125,0.981289,0.003033,0.967362,0.005067,0.971273,0.004755,0.968787,0.006561
126,0.984000,0.003080,0.967327,0.005067,0.965213,0.004460,0.966649,0.006487
127,0.982756,0.003051,0.967281,0.005069,0.971286,0.004529,0.966021,0.006453
128,0.980000,0.003110,0.967367,0.005067,0.972185,0.004549,0.965233,0.006479
129,0.983000,0.003020,0.967448,0.005066,0.973886,0.004484,0.959704,0.006796
130,0.981000,0.003090,0.967369,0.005069,0.971256,0.004374,0.960785,0.006749
131,0.980000,0.003170,0.967380,0.005068,0.971481,0.004518,0.963113,0.006687
132,0.982000,0.003050,0.967439,0.005065,0.965636,0.004427,0.960534,0.006369
133,0.982000,0.003200,0.967356,0.005068,0.970084,0.004454,0.953905,0.006663
134,0.985000,0.003080,0.967359,0.005067,0.967257,0.004544,0.964479,0.006562
135,0.980000,0.003080,0.967386,0.005067,0.969442,0.004460,0.956294,0.006611
136,0.982000,0.003130,0.967332,0.005069,0.973217,0.004353,0.962173,0.006431
137,0.983000,0.003070,0.967353,0.005067,0.966768,0.004617,0.966675,0.006534
138,0.979000,0.003150,0.967304,0.005069,0.968846,0.004520,0.964836,0.006443
