SampleN,Beta1,SE1,Beta2,SE2,Beta3,SE3,Beta4,Se4
65,0.8621233,0.0117934,0.817042,0.013157,0.8188904,0.0126401,0.7680415,0.0191694
66,0.8677442,0.0121789,0.8169395,0.0131561,0.8242832,0.0125218,0.7843204,0.0193417
67,0.8701255,0.0121094,0.8170137,0.0131574,0.8380198,0.0124854,0.7720931,0.0194441
68,0.8693648,0.0120466,0.8171011,0.0131585,0.8274498,0.0127756,0.7772543,0.0191682
69,0.8607083,0.0121186,0.817055,0.0131573,0.8236118,0.0124869,0.7669943,0.0188766
70,0.8646679,0.0119007,0.8170402,0.0131575,0.8337083,0.0125402,0.7817363,0.0193197
71,0.8752683,0.0119621,0.8170153,0.0131573,0.8318991,0.0126581,0.753881,0.0189876
72,0.8679077,0.0119427,0.8170795,0.0131582,0.8324966,0.0128318,0.7696975,0.0190445
73,0.8699469,0.0119808,0.8170192,0.0131582,0.8368569,0.0124779,0.7652712,0.0193085
74,0.8659673,0.0120691,0.817108,0.0131592,0.83674,0.012489,0.7762716,0.0196369
75,0.8677963,0.0119239,0.8169935,0.0131567,0.8222431,0.0129472,0.7845472,0.0193825
76,0.8631739,0.0120445,0.8171171,0.0131574,0.8249097,0.0124356,0.7607576,0.0194816
77,0.867851,0.0120737,0.8170594,0.0131582,0.841517,0.012628,0.7792847,0.0194104
78,0.864727,0.0120601,0.8170593,0.0131586,0.8258308,0.0125446,0.7776194,0.0192381
79,0.8622614,0.0121306,0.8170778,0.0131582,0.82981,0.012462,0.758153,0.018839
80,0.872122,0.0120279,0.816976,0.013157,0.8271627,0.0130151,0.7659472,0.0192748
81,0.872418,0.011828,0.8169876,0.0131563,0.8269623,0.0128127,0.7661377,0.0194387
82,0.8769526,0.0120566,0.8170375,0.0131585,0.8259494,0.0124882,0.76069,0.019376
83,0.874362,0.011919,0.8170021,0.0131578,0.8312608,0.0128366,0.7749003,0.0193858
84,0.8683585,0.0118083,0.8170591,0.0131589,0.8178501,0.0125149,0.7803293,0.0191967
85,0.8701459,0.0119519,0.8170409,0.0131571,0.8335656,0.0123804,0.763021,0.019053
86,0.877248,0.0119406,0.817022,0.0131574,0.82461,0.012537,0.774274,0.01935
87,0.8768043,0.0117814,0.8170158,0.0131579,0.8350301,0.0125175,0.7797018,0.0193069
88,0.8697731,0.0119739,0.8170669,0.0131586,0.8360574,0.0126106,0.7824354,0.0190928
89,0.871604,0.012167,0.8169862,0.0131581,0.8299543,0.0125638,0.7646575,0.0192819
90,0.8674578,0.0119234,0.8170528,0.0131592,0.8340476,0.0125555,0.7840527,0.0188761
91,0.8723398,0.0122394,0.8169777,0.0131586,0.8322581,0.0125654,0.7628709,0.0189829
92,0.8801862,0.0120623,0.8170143,0.0131573,0.834171,0.012389,0.7761238,0.0193364
93,0.8737477,0.0119742,0.817016,0.0131576,0.8400615,0.0126191,0.7814339,0.0195452
94,0.8643111,0.0119425,0.8170683,0.0131569,0.8343004,0.0124436,0.7681367,0.0194956
95,0.8733881,0.0120085,0.8170412,0.0131585,0.8231413,0.0127542,0.7669081,0.0192641
96,0.8705958,0.0120292,0.8170959,0.0131573,0.823172,0.012466,0.7591042,0.0196644
97,0.8647007,0.0120669,0.8170224,0.0131581,0.8347139,0.0126722,0.7929217,0.0191897
98,0.8668607,0.0121236,0.8170735,0.0131587,0.8361871,0.0124154,0.7679442,0.0190933
99,0.8788475,0.0119821,0.8170583,0.0131582,0.8389609,0.0128142,0.7658503,0.0195752
100,0.8696701,0.0120149,0.8170192,0.0131573,0.8387077,0.0122801,0.7747073,0.0196298
101,0.87344,0.011836,0.8170789,0.0131579,0.8347627,0.0126267,0.763386,0.019387
102,0.8721018,0.0122532,0.8170545,0.0131583,0.8315383,0.0125919,0.773658,0.0194861
103,0.8697605,0.0120318,0.8170737,0.0131601,0.8281151,0.0126925,0.7768477,0.0192049
104,0.8708397,0.0121205,0.8169733,0.0131585,0.829662,0.01262,0.7895656,0.0191002
105,0.8690167,0.0119038,0.8170479,0.0131595,0.8315564,0.0123864,0.7789379,0.0191433
106,0.867051,0.012089,0.8170651,0.0131601,0.8382278,0.0124343,0.7632893,0.0194836
107,0.8665892,0.0119746,0.8169916,0.0131591,0.8289615,0.0125725,0.7742082,0.0195845
108,0.8727401,0.0121495,0.8170482,0.0131575,0.833891,0.012252,0.7740678,0.0193881
109,0.868554,0.011859,0.8169937,0.0131575,0.8330811,0.0123606,0.7775935,0.0193731
110,0.8774556,0.0118922,0.8170608,0.0131579,0.830714,0.0124466,0.7617646,0.0190939
111,0.8670863,0.0118626,0.8169634,0.0131582,0.8322039,0.0128196,0.7754013,0.0191855
112,0.8712544,0.0121029,0.8171119,0.0131595,0.836787,0.012693,0.7698251,0.0194872
113,0.8689063,0.0119963,0.8170358,0.0131569,0.8317771,0.0124658,0.7844435,0.0194934
114,0.8748298,0.0118637,0.817072,0.013157,0.8180937,0.0124709,0.7714648,0.0195577
115,0.8676148,0.0121251,0.816998,0.0131582,0.8304397,0.0124348,0.7585389,0.0193544
116,0.8760861,0.0119438,0.81712,0.0131581,0.8182186,0.0124946,0.7585928,0.0191151
117,0.8676281,0.0121587,0.8169966,0.0131562,0.8340455,0.0127061,0.78917,0.0194
118,0.8658556,0.0119129,0.8170626,0.0131591,0.8360212,0.0124104,0.7765304,0.0192774
119,0.873909,0.012081,0.8170484,0.0131579,0.83494,0.012585,0.784195,0.0192567
120,0.8842276,0.0121265,0.8170069,0.0131574,0.8327972,0.0126836,0.7796659,0.0195384
121,0.8694495,0.0120472,0.8170217,0.0131582,0.8321979,0.0128614,0.7518976,0.0193612
122,0.8708324,0.0120604,0.8169688,0.0131584,0.8238224,0.0124892,0.7893375,0.0193525
123,0.866601,0.0121156,0.8170538,0.0131574,0.8364714,0.0123672,0.754337,0.018944
124,0.8782679,0.0119681,0.8170159,0.0131576,0.8367034,0.0127124,0.7615765,0.0195103
125,0.8653622,0.0119525,0.8170912,0.0131583,0.8303796,0.0126459,0.7675634,0.0193962
126,0.8743638,0.0120466,0.8170162,0.0131578,0.8294679,0.0124676,0.7722469,0.0190989
127,0.8768117,0.0119084,0.8169718,0.0131561,0.8294033,0.0123761,0.773842,0.019001
128,0.8655394,0.0120639,0.81705,0.013157,0.8189997,0.0124682,0.7786753,0.0190137
129,0.871021,0.011964,0.817055,0.013159,0.8288793,0.0128094,0.7815771,0.0192365
