SampleN,Beta1,SE1,Beta2,SE2,Beta3,SE3,Beta4,SE4
76,0.852540,0.008500,0.811818,0.009384,0.827010,0.008917,0.759030,0.013910
77,0.852496,0.008468,0.811757,0.009385,0.831009,0.008946,0.772113,0.013814
78,0.851152,0.008484,0.811775,0.009385,0.825194,0.008985,0.768027,0.013771
79,0.848774,0.008585,0.811828,0.009385,0.826695,0.008875,0.766169,0.013605
80,0.854969,0.008435,0.811749,0.009385,0.818232,0.009229,0.765192,0.013738
81,0.856733,0.008339,0.811715,0.009384,0.821184,0.009068,0.761659,0.013836
82,0.853457,0.008440,0.811784,0.009385,0.826033,0.008920,0.766784,0.013946
83,0.855215,0.008367,0.811760,0.009385,0.826891,0.009097,0.767613,0.013774
84,0.859388,0.008327,0.811774,0.009386,0.821162,0.008989,0.767825,0.013646
85,0.856179,0.008403,0.811766,0.009384,0.829396,0.008830,0.769055,0.013682
86,0.859988,0.008384,0.811744,0.009385,0.823879,0.009040,0.763510,0.013786
87,0.859613,0.008279,0.811734,0.009385,0.830932,0.008903,0.767173,0.013669
88,0.856838,0.008393,0.811799,0.009386,0.827002,0.008941,0.773626,0.013546
89,0.852519,0.008506,0.811755,0.009385,0.829324,0.008964,0.760057,0.013788
90,0.856745,0.008386,0.811771,0.009386,0.829497,0.008896,0.777801,0.013452
91,0.853637,0.008521,0.811730,0.009386,0.830634,0.008930,0.766959,0.013610
92,0.858191,0.008400,0.811796,0.009385,0.832452,0.008862,0.763898,0.013752
93,0.856535,0.008371,0.811770,0.009385,0.830579,0.008927,0.760768,0.013828
94,0.856188,0.008442,0.811807,0.009384,0.832457,0.008848,0.762536,0.013863
95,0.854743,0.008405,0.811763,0.009385,0.822864,0.009102,0.764810,0.013750
96,0.856330,0.008412,0.811804,0.009385,0.826644,0.008933,0.756648,0.014022
97,0.853175,0.008432,0.811782,0.009385,0.829562,0.009039,0.772126,0.013560
98,0.851562,0.008492,0.811803,0.009385,0.832813,0.008878,0.767455,0.013682
99,0.856402,0.008388,0.811796,0.009385,0.822988,0.009036,0.758711,0.013907
